"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,304;01/04/25;"10:28:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,47;01/04/25;"10:28:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,446;01/04/25;"10:28:49";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,454;01/04/25;"10:28:49";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,444;01/04/25;"10:28:49";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,374;01/04/25;"10:30:59";"SAIDA"
"145922";"CARNE BOV RSF KG ACEM";1,272;01/04/25;"10:31:52";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";1,468;01/04/25;"10:33:00";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,4;01/04/25;"10:33:58";"SAIDA"
"145920";"CARNE BOV RSF KG ASSADO DE TIRAS";0,872;01/04/25;"10:35:12";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,468;01/04/25;"10:35:12";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,508;01/04/25;"10:35:57";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";1,01;01/04/25;"10:36:34";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,792;01/04/25;"10:36:34";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,84;01/04/25;"10:36:34";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,946;01/04/25;"10:37:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";1,172;01/04/25;"10:37:15";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,472;01/04/25;"10:37:32";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,472;01/04/25;"10:37:32";"SAIDA"
